actor,target,type
nmain,svenvandescheur,COMMENT_ON_ISSUE_OR_PR
MartinJohns,svenvandescheur,COMMENT_ON_ISSUE_OR_PR
nmain,svenvandescheur,COMMENT_ON_ISSUE_OR_PR
nmain,svenvandescheur,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,svenvandescheur,COMMENT_ON_ISSUE_OR_PR
typescript-bot,svenvandescheur,COMMENT_ON_ISSUE_OR_PR
typescript-bot,svenvandescheur,ISSUE_CLOSED_BY_OTHER
MartinJohns,eng-same,COMMENT_ON_ISSUE_OR_PR
typescript-bot,eng-same,COMMENT_ON_ISSUE_OR_PR
typescript-bot,eng-same,ISSUE_CLOSED_BY_OTHER
MartinJohns,canonic-epicure,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],VanshBD,PR_REVIEW_OR_APPROVAL
MartinJohns,raydog,COMMENT_ON_ISSUE_OR_PR
typescript-bot,raydog,COMMENT_ON_ISSUE_OR_PR
typescript-bot,raydog,ISSUE_CLOSED_BY_OTHER
RyanCavanaugh,Se3do,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,Se3do,ISSUE_CLOSED_BY_OTHER
MartinJohns,adevart,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,adevart,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,adevart,ISSUE_CLOSED_BY_OTHER
MartinJohns,johanrd,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],dependabot[bot],PR_REVIEW_OR_APPROVAL
RyanCavanaugh,aiday-mar,COMMENT_ON_ISSUE_OR_PR
tahanawab4848,aiday-mar,COMMENT_ON_ISSUE_OR_PR
typescript-bot,creazyfrog,COMMENT_ON_ISSUE_OR_PR
vitalysinitsin,Bertie690,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,Bertie690,COMMENT_ON_ISSUE_OR_PR
vitalysinitsin,Bertie690,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,Bertie690,COMMENT_ON_ISSUE_OR_PR
MartinJohns,sulthonzh,COMMENT_ON_ISSUE_OR_PR
mkantor,sulthonzh,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,sulthonzh,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,sulthonzh,ISSUE_CLOSED_BY_OTHER
copilot-pull-request-reviewer[bot],dependabot[bot],PR_REVIEW_OR_APPROVAL
MartinJohns,atomeam,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,atomeam,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,atomeam,ISSUE_CLOSED_BY_OTHER
RyanCavanaugh,Bertie690,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,Bertie690,ISSUE_CLOSED_BY_OTHER
MartinJohns,Liam1-dev,COMMENT_ON_ISSUE_OR_PR
snarbles2,Liam1-dev,COMMENT_ON_ISSUE_OR_PR
guillaumebrunerie,Liam1-dev,COMMENT_ON_ISSUE_OR_PR
nmain,Liam1-dev,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,TheLazySquid,COMMENT_ON_ISSUE_OR_PR
tahanawab4848,TheLazySquid,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],TheLazySquid,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,TheLazySquid,COMMENT_ON_ISSUE_OR_PR
tahanawab4848,TheLazySquid,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,TheLazySquid,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],TheLazySquid,ISSUE_CLOSED_BY_OTHER
copilot-pull-request-reviewer[bot],RyanCavanaugh,PR_REVIEW_OR_APPROVAL
DanielRosenwasser,RyanCavanaugh,PR_REVIEW_OR_APPROVAL
sandersn,RyanCavanaugh,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,paoloricciuti,COMMENT_ON_ISSUE_OR_PR
jcalz,paoloricciuti,COMMENT_ON_ISSUE_OR_PR
jcalz,paoloricciuti,COMMENT_ON_ISSUE_OR_PR
typescript-bot,paoloricciuti,COMMENT_ON_ISSUE_OR_PR
typescript-bot,paoloricciuti,ISSUE_CLOSED_BY_OTHER
nmain,youngspe,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,youngspe,ISSUE_CLOSED_BY_OTHER
RyanCavanaugh,tanushbhootra576,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,LangLangBart,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,creazyfrog,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],tanushbhootra576,PR_REVIEW_OR_APPROVAL
Hamzaa6296,danon,COMMENT_ON_ISSUE_OR_PR
jcalz,danon,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,danon,COMMENT_ON_ISSUE_OR_PR
khalil-mhiri-cyber,danon,COMMENT_ON_ISSUE_OR_PR
typescript-bot,danon,COMMENT_ON_ISSUE_OR_PR
typescript-bot,danon,ISSUE_CLOSED_BY_OTHER
jcalz,oe-andreas-soroko,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,oe-andreas-soroko,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,algojogacor,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,danon,COMMENT_ON_ISSUE_OR_PR
MartinJohns,danon,COMMENT_ON_ISSUE_OR_PR
MartinJohns,danon,COMMENT_ON_ISSUE_OR_PR
MartinJohns,danon,COMMENT_ON_ISSUE_OR_PR
MartinJohns,danon,COMMENT_ON_ISSUE_OR_PR
mkantor,danon,COMMENT_ON_ISSUE_OR_PR
typescript-bot,danon,COMMENT_ON_ISSUE_OR_PR
typescript-bot,danon,ISSUE_CLOSED_BY_OTHER
copilot-pull-request-reviewer[bot],algojogacor,PR_REVIEW_OR_APPROVAL
MartinJohns,loynoir,COMMENT_ON_ISSUE_OR_PR
MartinJohns,loynoir,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,loynoir,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,hesam-oxe,COMMENT_ON_ISSUE_OR_PR
jakebailey,Scolliq,COMMENT_ON_ISSUE_OR_PR
mkantor,Scolliq,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,Scolliq,COMMENT_ON_ISSUE_OR_PR
MartinJohns,ArshVermaGit,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,ArshVermaGit,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,ArshVermaGit,ISSUE_CLOSED_BY_OTHER
copilot-pull-request-reviewer[bot],hesam-oxe,PR_REVIEW_OR_APPROVAL
typescript-bot,Lefgk,COMMENT_ON_ISSUE_OR_PR
typescript-bot,Lefgk,COMMENT_ON_ISSUE_OR_PR
MartinJohns,Lefgk,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],Lefgk,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,Lefgk,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,Lefgk,PR_MERGE
copilot-pull-request-reviewer[bot],jakebailey,PR_REVIEW_OR_APPROVAL
gabritto,jakebailey,PR_REVIEW_OR_APPROVAL
MartinJohns,SkyCoderAakash,COMMENT_ON_ISSUE_OR_PR
typescript-bot,driphtyio,COMMENT_ON_ISSUE_OR_PR
typescript-bot,driphtyio,COMMENT_ON_ISSUE_OR_PR
MartinJohns,driphtyio,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,SkyCoderAakash,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,SkyCoderAakash,PR_MERGE
copilot-pull-request-reviewer[bot],driphtyio,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,driphtyio,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,driphtyio,PR_MERGE
RyanCavanaugh,scarab-systems,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],scarab-systems,PR_REVIEW_OR_APPROVAL
typescript-bot,turansky,COMMENT_ON_ISSUE_OR_PR
typescript-bot,turansky,COMMENT_ON_ISSUE_OR_PR
typescript-bot,slimmii,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],turansky,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,turansky,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,turansky,PR_MERGE
RyanCavanaugh,harsha-cpp,COMMENT_ON_ISSUE_OR_PR
MartinJohns,Zelys-DFKH,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],harsha-cpp,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,xsourabhsharma,COMMENT_ON_ISSUE_OR_PR
typescript-bot,3ru,COMMENT_ON_ISSUE_OR_PR
typescript-bot,3ru,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],xsourabhsharma,PR_REVIEW_OR_APPROVAL
copilot-pull-request-reviewer[bot],3ru,PR_REVIEW_OR_APPROVAL
typescript-bot,ghost,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ghost,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-bot,jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
MartinJohns,jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],jakebailey,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],ghost,PR_REVIEW_OR_APPROVAL
copilot-pull-request-reviewer[bot],jakebailey,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,jakebailey,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,jakebailey,PR_REVIEW_OR_APPROVAL
copilot-pull-request-reviewer[bot],niledas,PR_REVIEW_OR_APPROVAL
typescript-bot,jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-bot,jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-bot,jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-bot,jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-bot,jakebailey,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,popsiclelmlm,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ahejlsberg,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],popsiclelmlm,PR_REVIEW_OR_APPROVAL
copilot-pull-request-reviewer[bot],ahejlsberg,PR_REVIEW_OR_APPROVAL
typescript-bot,dxbjavid,COMMENT_ON_ISSUE_OR_PR
typescript-bot,dxbjavid,COMMENT_ON_ISSUE_OR_PR
jakebailey,dxbjavid,COMMENT_ON_ISSUE_OR_PR
jakebailey,dxbjavid,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,dxbjavid,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,dxbjavid,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,dxbjavid,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],dxbjavid,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,MukundaKatta,COMMENT_ON_ISSUE_OR_PR
typescript-bot,Jah-yee,COMMENT_ON_ISSUE_OR_PR
jakebailey,Jah-yee,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,Jah-yee,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],MukundaKatta,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,Ijtihed,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],Ijtihed,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,MukundaKatta,COMMENT_ON_ISSUE_OR_PR
typescript-bot,Jah-yee,COMMENT_ON_ISSUE_OR_PR
jakebailey,Jah-yee,COMMENT_ON_ISSUE_OR_PR
jakebailey,Jah-yee,COMMENT_ON_ISSUE_OR_PR
jakebailey,Jah-yee,COMMENT_ON_ISSUE_OR_PR
typescript-bot,driphtyio,COMMENT_ON_ISSUE_OR_PR
typescript-bot,driphtyio,COMMENT_ON_ISSUE_OR_PR
MartinJohns,driphtyio,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],driphtyio,PR_REVIEW_OR_APPROVAL
typescript-bot,iamdaven,COMMENT_ON_ISSUE_OR_PR
typescript-bot,iamdaven,COMMENT_ON_ISSUE_OR_PR
typescript-bot,iamdaven,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,iamdaven,COMMENT_ON_ISSUE_OR_PR
jakebailey,RyanCavanaugh,PR_REVIEW_OR_APPROVAL
copilot-pull-request-reviewer[bot],RyanCavanaugh,PR_REVIEW_OR_APPROVAL
copilot-pull-request-reviewer[bot],iamdaven,PR_REVIEW_OR_APPROVAL
copilot-pull-request-reviewer[bot],dependabot[bot],PR_REVIEW_OR_APPROVAL
jakebailey,dependabot[bot],PR_REVIEW_OR_APPROVAL
jakebailey,dependabot[bot],PR_MERGE
typescript-bot,RyanCavanaugh,COMMENT_ON_ISSUE_OR_PR
typescript-bot,RyanCavanaugh,COMMENT_ON_ISSUE_OR_PR
typescript-bot,RyanCavanaugh,COMMENT_ON_ISSUE_OR_PR
typescript-bot,RyanCavanaugh,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,MukundaKatta,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],MukundaKatta,PR_REVIEW_OR_APPROVAL
copilot-pull-request-reviewer[bot],RyanCavanaugh,PR_REVIEW_OR_APPROVAL
jakebailey,RyanCavanaugh,PR_REVIEW_OR_APPROVAL
jakebailey,RyanCavanaugh,PR_MERGE
jakebailey,MukundaKatta,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,MukundaKatta,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,driphtyio,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],MukundaKatta,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,MukundaKatta,PR_REVIEW_OR_APPROVAL
copilot-pull-request-reviewer[bot],driphtyio,PR_REVIEW_OR_APPROVAL
azure-pipelines[bot],typescript-bot,COMMENT_ON_ISSUE_OR_PR
jakebailey,typescript-bot,PR_REVIEW_OR_APPROVAL
jakebailey,typescript-bot,PR_MERGE
typescript-bot,driphtyio,COMMENT_ON_ISSUE_OR_PR
typescript-bot,driphtyio,COMMENT_ON_ISSUE_OR_PR
typescript-bot,driphtyio,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,driphtyio,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,danyalahmed1995,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],driphtyio,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,driphtyio,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,driphtyio,PR_MERGE
copilot-pull-request-reviewer[bot],danyalahmed1995,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,Bodlux,COMMENT_ON_ISSUE_OR_PR
DanielRosenwasser,Bodlux,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,Bodlux,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,godfengliang,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,SkyCoderAakash,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],godfengliang,PR_REVIEW_OR_APPROVAL
copilot-pull-request-reviewer[bot],SkyCoderAakash,PR_REVIEW_OR_APPROVAL
typescript-bot,Bodlux,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,arnavnagzirkar,COMMENT_ON_ISSUE_OR_PR
typescript-bot,jakebailey,COMMENT_ON_ISSUE_OR_PR
typescript-bot,jakebailey,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,jakebailey,PR_REVIEW_OR_APPROVAL
